Name,mentioned_dishes
AutoCity Hamburgers & Poutine,burger
Barbar Bakery and Pizzeria,pizza
Basil Court Restaurant,"curry, spring rolls"
Capri Pizzeria,"pho, pizza, onion rings, coleslaw"
Frenchy's Poutinery,tea
Johnny Rockets,"tea, milkshake, salad, burger, steak"
La Guardia Italian Cuisine,"spaghetti, arancini"
Market Buffet,"pasta, noodles"
Panache Restaurant And Lounge,salad
Shawarma Queen,"sandwich, salad, hummus, shawarma, falafel"
The Bistro At The River,"pizza, coffee, sandwich"
The Cook's Shop,"tea, lasagna, salad, mashed potatoes, steak, pho"
The Keg Steakhouse + Bar - Windsor Riverside,"steak, tea, sandwich"
The Mini Restaurant,"salad, pho"
Tim Hortons,"tea, pizza, coffee, sandwich"
Windsor Palace Restaurant & Catering,"salad, tea"
